date,SmallCopepods
1975_01_15,183.3
1975_02_15,214.5
1975_03_15,316.5
1975_04_15,1672.5
1975_05_15,2662.9
1975_06_15,5996.2
1975_07_15,4085.2
1975_08_15,3311.3
1975_09_15,4931.2
1975_10_15,2576.6
1975_11_15,821.2
1975_12_15,360.3
1976_01_15,348.6
1976_02_15,314.4
1976_03_15,81.3
1976_04_15,350.9
1976_05_15,3717.5
1976_06_15,4835.8
1976_07_15,559.6
1976_08_15,3028.6
1976_09_15,3150.5
1976_10_15,641.6
1976_11_15,259.1
1976_12_15,92.7
1977_01_15,93
1977_02_15,147.5
1977_03_15,218.7
1977_04_15,474.4
1977_05_15,5330.9
1977_06_15,5491.3
1977_07_15,11031
1977_08_15,7122.3
1977_09_15,6020.4
1977_10_15,1789.9
1977_11_15,1023.6
1977_12_15,961.7
1978_01_15,689.7
1978_02_15,589.9
1978_03_15,806.3
1978_04_15,1569
1978_05_15,2540.2
1978_06_15,13923.4
1978_07_15,4605.3
1978_08_15,3930.4
1978_09_15,1544
1978_10_15,977.5
1978_11_15,448.8
1978_12_15,384.7
1979_01_15,221.2
1979_02_15,185.5
1979_03_15,511.5
1979_04_15,847.1
1979_05_15,7078.9
1979_06_15,5377.4
1979_07_15,3393.5
1979_08_15,11970
1979_09_15,4388.1
1979_10_15,1923.5
1979_11_15,762
1979_12_15,866.1
1980_01_15,738.5
1980_02_15,291.2
1980_03_15,1651.5
1980_04_15,1268.5
1980_05_15,2320.9
1980_06_15,3770.6
1980_07_15,7019.6
1980_08_15,2774.1
1980_09_15,2114.9
1980_10_15,4732.6
1980_11_15,3678.2
1980_12_15,1219.2
1981_01_15,1331.2
1981_02_15,1350.1
1981_03_15,348.1
1981_04_15,697.3
1981_05_15,4355.6
1981_06_15,6141
1981_07_15,5463
1981_08_15,20172.9
1981_09_15,8911
1981_10_15,6193.2
1981_11_15,1325.8
1981_12_15,712.3
1982_01_15,577.6
1982_02_15,766.1
1982_03_15,743.1
1982_04_15,1251.8
1982_05_15,3235.1
1982_06_15,1854.9
1982_07_15,2245
1982_08_15,4989.9
1982_09_15,3968.7
1982_10_15,4530.1
1982_11_15,1098.5
1982_12_15,824.6
1983_01_15,1052.7
1983_02_15,418.3
1983_03_15,977.5
1983_04_15,2672.9
1983_05_15,14191.4
1983_06_15,4994.1
1983_07_15,8988.5
1983_08_15,10009.1
1983_09_15,3248.9
1983_10_15,8386.6
1983_11_15,2249.1
1983_12_15,1377.7
1984_01_15,2881.3
1984_02_15,1957.2
1984_03_15,1002.8
1984_04_15,5299.6
1984_05_15,7528.3
1984_06_15,9544.8
1984_07_15,17933.8
1984_08_15,7671.1
1984_09_15,2452.7
1984_10_15,3292.5
1984_11_15,4753.5
1984_12_15,3052.2
1985_01_15,1481.2
1985_02_15,842.5
1985_03_15,1501.2
1985_04_15,3869
1985_05_15,12262.9
1985_06_15,18736.6
1985_07_15,20940.5
1985_08_15,8026.8
1985_09_15,11900.5
1985_10_15,4704.8
1985_11_15,4423.8
1985_12_15,1881.1
1986_01_15,1165.9
1986_02_15,948.9
1986_03_15,558.4
1986_04_15,887
1986_05_15,4336.5
1986_06_15,34879.3
1986_07_15,23154
1986_08_15,8339.2
1986_09_15,3608.3
1986_10_15,9202.2
1986_11_15,1435.7
1986_12_15,855
1987_01_15,284.8
1987_02_15,271.3
1987_03_15,468.3
1987_04_15,4431.1
1987_05_15,10358.9
1987_06_15,15279.7
1987_07_15,7176.9
1987_08_15,11823.3
1987_09_15,7258.7
1987_10_15,2116.8
1987_11_15,1777.3
1987_12_15,2841.3
1988_01_15,622.9
1988_02_15,1283.3
1988_03_15,1638.3
1988_04_15,1658
1988_05_15,7259.3
1988_06_15,9492
1988_07_15,12816.2
1988_08_15,6562.7
1988_09_15,7792.6
1988_10_15,3827
1988_11_15,1516.7
1988_12_15,1513.2
1989_01_15,671.6
1989_02_15,726.8
1989_03_15,885.8
1989_04_15,1471.4
1989_05_15,2288.2
1989_06_15,16967.3
1989_07_15,12985.2
1989_08_15,2135.9
1989_09_15,1351.1
1989_10_15,1300.2
1989_11_15,657.1
1989_12_15,673.9
1990_01_15,811.5
1990_02_15,772.7
1990_03_15,3694.9
1990_04_15,9505.5
1990_05_15,14998.3
1990_06_15,30629.5
1990_07_15,11729.4
1990_08_15,7821.9
1990_09_15,3593.8
1990_10_15,2721.8
1990_11_15,678.4
1990_12_15,806.1
1991_01_15,506.3
1991_02_15,594.6
1991_03_15,693
1991_04_15,1871.8
1991_05_15,1586.8
1991_06_15,3218.8
1991_07_15,2942.5
1991_08_15,7432
1991_09_15,3744.5
1991_10_15,1258.1
1991_11_15,1083.4
1991_12_15,1146.7
1992_01_15,491.8
1992_02_15,347.6
1992_03_15,755.2
1992_04_15,1827.6
1992_05_15,1778.3
1992_06_15,1690.7
1992_07_15,5969
1992_08_15,2136.4
1992_09_15,733.4
1992_10_15,813.7
1992_11_15,605.3
1992_12_15,619.2
1993_01_15,1058
1993_02_15,520.5
1993_03_15,653.6
1993_04_15,719.7
1993_05_15,2864.6
1993_06_15,3498.8
1993_07_15,6297.2
1993_08_15,2700.1
1993_09_15,3860.4
1993_10_15,890
1993_11_15,417.1
1993_12_15,551.3
1994_01_15,467.9
1994_02_15,387.6
1994_03_15,301.2
1994_04_15,2355.8
1994_05_15,4999.2
1994_06_15,14765.4
1994_07_15,6655.5
1994_08_15,6833.8
1994_09_15,4306.5
1994_10_15,986.3
1994_11_15,964
1994_12_15,517.8
1995_01_15,229.7
1995_02_15,289.1
1995_03_15,1190.5
1995_04_15,1665.4
1995_05_15,4775.6
1995_06_15,6775.8
1995_07_15,3473.8
1995_08_15,6822.3
1995_09_15,1199
1995_10_15,1196.1
1995_11_15,655.1
1995_12_15,575.1
1996_01_15,757.8
1996_02_15,960.7
1996_03_15,797
1996_04_15,766
1996_05_15,5345
1996_06_15,4193
1996_07_15,20523
1996_08_15,5948.7
1996_09_15,7006.2
1996_10_15,2905
1996_11_15,1063.2
1996_12_15,2411.8
1997_01_15,1030.2
1997_02_15,1086.3
1997_03_15,1639.3
1997_04_15,3689.8
1997_05_15,3836.3
1997_06_15,4103.5
1997_07_15,3998.5
1997_08_15,7216.2
1997_09_15,1945.3
1997_10_15,472.8
1997_11_15,574
1997_12_15,1319.1
1998_01_15,394.3
1998_02_15,336.7
1998_03_15,615
1998_04_15,2334.4
1998_05_15,4602.4
1998_06_15,6210.3
1998_07_15,9301.3
1998_08_15,3850.5
1998_09_15,726.9
1998_10_15,692
1998_11_15,970.1
1998_12_15,1399.2
1999_01_15,445
1999_02_15,357.5
1999_03_15,847.2
1999_04_15,2432.1
1999_05_15,5390.2
1999_06_15,9581.7
1999_07_15,7361
1999_08_15,1739
1999_09_15,889.2
1999_10_15,996.4
1999_11_15,863
1999_12_15,839.9
2000_01_15,548.5
2000_02_15,324.9
2000_03_15,751.3
2000_04_15,1045.8
2000_05_15,4374.1
2000_06_15,4684.4
2000_07_15,5577.8
2000_08_15,3310.5
2000_09_15,910
2000_10_15,1831.7
2000_11_15,1052.9
2000_12_15,823.1
