date,TotalDispVol
1977_03_15,25.9
1977_05_15,57.44
1977_07_15,49.67
1977_11_15,43.84
1978_03_15,13.01
1978_05_15,36.94
1978_07_15,30.41
1978_09_15,30.33
1978_11_15,29.54
1979_03_15,29.45
1979_05_15,46.78
1979_07_15,42.49
1979_09_15,32.98
1979_11_15,19.47
1980_01_15,11.45
1980_05_15,44.06
1980_07_15,45.43
1980_09_15,32.85
1980_11_15,
1981_01_15,8.31
1981_05_15,52.69
1981_09_15,26.38
1981_11_15,16.38
1982_01_15,12.08
1982_03_15,20.66
1982_05_15,35.35
1982_09_15,16.68
1982_11_15,23.74
1983_01_15,11.36
1983_03_15,31.13
1983_05_15,14.68
1983_09_15,12.66
1983_11_15,8.83
1984_01_15,9.59
1984_03_15,16.93
1984_05_15,17.65
1984_09_15,11.25
1985_03_15,11.43
1985_09_15,16.86
1985_11_15,10.48
1986_01_15,7.19
1986_03_15,13.78
1986_05_15,25.6
1986_09_15,19.74
1986_11_15,13.84
1987_03_15,28.28
1987_05_15,31.52
1987_09_15,20.07
1988_03_15,11.03
1988_09_15,23.96
1991_07_15,25.91
1991_09_15,28.85
1992_01_15,9.32
1992_03_15,29.91
1992_05_15,40.21
1992_07_15,41.82
1993_03_15,15.25
1993_05_15,41.43
1993_07_15,33.97
1994_03_15,17.52
1994_05_15,32.64
1994_09_15,35.47
1995_01_15,8.61
1995_03_15,37.4
1995_05_15,18.9
1995_07_15,23.36
1995_09_15,20.55
1995_11_15,13.94
1996_03_15,33.15
1996_05_15,31.43
1996_09_15,24.59
1997_01_15,5.84
1997_03_15,16.5
1997_05_15,24.46
1997_07_15,44.14
1997_09_15,28.35
1997_11_15,20.62
1998_01_15,11.07
1998_03_15,20.09
1998_05_15,26.48
1998_07_15,18.67
1998_09_15,23.19
1998_11_15,26.51
1999_01_15,21.97
1999_03_15,28.68
1999_05_15,33.72
1999_07_15,42.2
1999_09_15,32.05
1999_11_15,23.73
2000_03_15,24.11
2000_05_15,30.08
2000_07_15,37.67
2000_09_15,31.8
2000_11_15,21.23
2001_03_15,72.14
2001_05_15,39.66
2001_07_15,33.04
2001_09_15,32.07
2001_11_15,27.1
2002_01_15,12.52
2002_03_15,10
2002_05_15,36.85
2002_07_15,27.25
2002_09_15,20.19
2002_11_15,13.43
2003_01_15,8.71
2003_03_15,53.07
2003_07_15,36.39
2003_09_15,25.65
2004_03_15,25.43
2004_05_15,32.92
2004_07_15,31.63
2004_09_15,23.3
2004_11_15,14.63
2005_01_15,12.75
2005_03_15,20.21
2005_05_15,19.72
2005_07_15,20.96
2005_09_15,17.63
2005_11_15,10.16
2006_01_15,8.01
2006_03_15,44.17
2006_05_15,21.82
2006_07_15,29.15
2006_09_15,21.54
2006_11_15,13.99
