date, Copepod Biomass (mg/m3) at C2
1950_01_15,
1950_02_15,
1950_03_15,
1950_04_15,
1950_05_15,
1950_06_15,3.1772
1950_07_15,
1950_08_15,
1950_09_15,
1950_10_15,
1950_11_15,
1950_12_15,
1951_01_15,
1951_02_15,
1951_03_15,
1951_04_15,
1951_05_15,
1951_06_15,2.9268
1951_07_15,
1951_08_15,
1951_09_15,
1951_10_15,
1951_11_15,
1951_12_15,
1952_01_15,
1952_02_15,
1952_03_15,
1952_04_15,
1952_05_15,
1952_06_15,2.9543
1952_07_15,
1952_08_15,
1952_09_15,
1952_10_15,
1952_11_15,
1952_12_15,
1953_01_15,
1953_02_15,
1953_03_15,
1953_04_15,
1953_05_15,
1953_06_15,2.9709
1953_07_15,
1953_08_15,
1953_09_15,
1953_10_15,
1953_11_15,
1953_12_15,
1954_01_15,
1954_02_15,
1954_03_15,
1954_04_15,
1954_05_15,
1954_06_15,2.7759
1954_07_15,
1954_08_15,
1954_09_15,
1954_10_15,
1954_11_15,
1954_12_15,
1955_01_15,
1955_02_15,
1955_03_15,
1955_04_15,
1955_05_15,
1955_06_15,2.9152
1955_07_15,
1955_08_15,
1955_09_15,
1955_10_15,
1955_11_15,
1955_12_15,
1956_01_15,
1956_02_15,
1956_03_15,
1956_04_15,
1956_05_15,
1956_06_15,2.9473
1956_07_15,
1956_08_15,
1956_09_15,
1956_10_15,
1956_11_15,
1956_12_15,
1957_01_15,
1957_02_15,
1957_03_15,
1957_04_15,
1957_05_15,
1957_06_15,2.9483
1957_07_15,
1957_08_15,
1957_09_15,
1957_10_15,
1957_11_15,
1957_12_15,
1958_01_15,
1958_02_15,
1958_03_15,
1958_04_15,
1958_05_15,
1958_06_15,3.038
1958_07_15,
1958_08_15,
1958_09_15,
1958_10_15,
1958_11_15,
1958_12_15,
1959_01_15,
1959_02_15,
1959_03_15,
1959_04_15,
1959_05_15,
1959_06_15,2.9809
1959_07_15,
1959_08_15,
1959_09_15,
1959_10_15,
1959_11_15,
1959_12_15,
1960_01_15,
1960_02_15,
1960_03_15,
1960_04_15,
1960_05_15,
1960_06_15,2.9064
1960_07_15,
1960_08_15,
1960_09_15,
1960_10_15,
1960_11_15,
1960_12_15,
1961_01_15,
1961_02_15,
1961_03_15,
1961_04_15,
1961_05_15,
1961_06_15,2.8663
1961_07_15,
1961_08_15,
1961_09_15,
1961_10_15,
1961_11_15,
1961_12_15,
1962_01_15,
1962_02_15,
1962_03_15,
1962_04_15,
1962_05_15,
1962_06_15,2.6829
1962_07_15,
1962_08_15,
1962_09_15,
1962_10_15,
