DATE-YMD,Temperature,Salinity,Oxygen,Turbidity,AirTemp
3/2/2001,17.5588,29.7412,7.9235,                    ,21.4353
3/3/2001,17.2727,29.5091,6.5614,                    ,19.8455
3/4/2001,17.0622,28.9067,6.5422,                    ,18.0844
3/5/2001,15.5239,27.6109,7.4261,                    ,11.7913
3/6/2001,13.0064,27.1404,7.9191,                    ,7.5319
3/7/2001,12.4149,30.4979,8.0979,                    ,6.6745
3/8/2001,13.083,32.0808,8.1574,41.6,8.4894
3/9/2001,13.4426,32.5787,8.0191,34.617,12.7808
3/10/2001,13.966,32.8255,8.0745,37.6809,9.3
3/11/2001,14.4042,32.9687,8.0563,37.6042,12.5604
3/12/2001,15.1667,32.4511,7.5756,36.0222,16.0822
3/13/2001,16.7844,29.8311,7.4756,22.7111,20.6978
3/14/2001,16.4227,28.8455,7.0364,19.1136,17.5523
3/15/2001,16.1286,27.6429,6.8524,25.2381,16.4976
3/16/2001,17.46,26.865,7.13,16.975,19.79
3/17/2001,16.937,25.8957,6.6848,12.913,16.2652
3/18/2001,15.6178,25.6533,7.1822,10.0889,11.58
3/19/2001,13.8333,29.6667,8,23.8958,10.75
3/20/2001,14.4688,30.1604,8.1021,71.8958,14.6104
3/21/2001,13.8022,27.3822,7.7,46.0889,9.4778
3/22/2001,14.2432,26.2386,8.1795,32.5682,13.4318
3/23/2001,15.0149,28.1574,7.9234,60.5319,13.1255
3/24/2001,15.7756,28.0178,7.98,63.2889,14.6733
3/25/2001,15.34,27.5889,7.1178,45.8222,12.585
3/26/2001,15.4511,27.4378,7.7956,45.8824,9.4273
3/27/2001,14.9574,27.5872,7.7957,                    ,                    
3/28/2001,14.4087,29.1391,7.8652,                    ,                    
3/29/2001,14.7652,28.9957,7.4152,                    ,                    
3/30/2001,16.207,26.8744,7.3,                    ,                    
3/31/2001,16.7545,25.9727,6.6773,                    ,                    
4/1/2001,16.1143,25.25,7.0429,                    ,15.9135
4/2/2001,15.3178,25.7067,7.1822,                    ,12.2775
4/3/2001,15.613,26.4826,7.137,                    ,15.369
4/4/2001,16.08,27.3756,7.2089,                    ,16.2775
4/5/2001,16.6152,30.0674,7.4739,                    ,15.7439
4/6/2001,17.8156,29.9378,7.3089,                    ,18.9875
4/7/2001,19.2745,29.1489,7.0043,                    ,21.3756
4/8/2001,19.7935,28.7913,6.9109,                    ,22.0325
4/9/2001,20.934,28.7149,6.7149,                    ,23.5512
4/10/2001,21.3326,28.863,6.5457,                    ,24.1923
4/11/2001,21.7889,28.7356,6.2689,                    ,22.6667
4/12/2001,21.9698,28.6465,5.9512,13.2083,                    
4/13/2001,22.4868,27.9184,5.7921,13.1316,                    
4/14/2001,23.1182,27.5955,5.8182,10.0909,                    
4/15/2001,21.7907,28.1023,5.4581,8.4884,                    
4/16/2001,21.7574,27.0787,5.6936,9.1277,                    
4/17/2001,19.6375,27.6625,6.0375,9.5417,                    
4/18/2001,18.2064,28.6149,6.5,8.3617,                    
4/19/2001,18.3024,30.3381,6.5214,8.3571,                    
4/20/2001,18.9372,29.993,6.4581,10.6047,                    
4/21/2001,20,29.9487,6.5162,11.973,                    
4/22/2001,20.7,30.3471,6.5088,12.5294,                    
4/23/2001,21.4121,30.897,6.4727,14.7879,                    
4/24/2001,22.2353,30.7824,6.0706,24.6765,                    
4/25/2001,21.52,30.4171,5.6543,22.8286,                    
4/26/2001,19.9263,31.0079,6.1737,28.4474,                    
4/27/2001,20.045,31.6325,6.3275,24.325,                    
4/28/2001,20.4781,31.3073,6.2512,17.2683,                    
4/29/2001,21.4372,31.607,6.1907,15.7209,                    
4/30/2001,20.8364,32.1477,6.0295,17.6818,                    
5/1/2001,21.2561,32.1,6.0195,19.8636,21.2923
5/2/2001,21.5711,32.9342,6.0316,                    ,20.9921
5/3/2001,21.8026,32.7368,5.8684,                    ,21.1658
5/4/2001,22.227,32.7622,5.7757,                    ,21.6105
5/5/2001,22.8757,32.9189,5.5811,                    ,22.1811
5/6/2001,23.3083,33.0222,5.5472,                    ,22.7108
5/7/2001,22.8043,33.2638,5.7426,                    ,18.46
5/8/2001,22.6409,33.4386,5.6659,                    ,                    
5/9/2001,23.0698,33.486,5.2558,                    ,                    
5/10/2001,23.8886,33.7636,5.35,16.4444,                    
5/11/2001,23.9682,33.7886,5.3295,16.8636,                    
5/12/2001,24.2318,33.6295,5.4159,10.3182,                    
5/13/2001,24.2933,33.5244,5.2578,7.7111,                    
5/14/2001,24.4319,33.8745,5.4277,9.8723,                    
5/15/2001,24.8,33.9512,5.2442,7.3721,                    
5/16/2001,25.2,34.0304,5.0587,8.7391,                    
5/17/2001,25.6896,34.4667,5.0896,13.5,                    
5/18/2001,26.3667,34.6222,3.5,13.8889,                    
5/19/2001,26.3043,34.3723,3.2681,14.5957,                    
5/20/2001,26.2622,34.3133,3.2133,18.1778,                    
5/21/2001,26.4133,34.2578,3.3222,20.3111,                    
5/22/2001,26.7349,34.0372,3.3512,31.3721,                    
5/23/2001,26.3364,33.0273,3.5114,33.9773,                    
5/24/2001,25.8,34.0302,4.2558,28.1905,                    
5/25/2001,25.375,34.2375,5.095,                    ,                    
5/26/2001,25.822,33.5829,4.7634,                    ,                    
5/27/2001,25.8095,34.0405,4.8381,                    ,                    
5/28/2001,26.3415,34.1976,4.8366,                    ,                    
5/29/2001,25.8333,34.1795,4.7923,                    ,                    
5/30/2001,26.15,34.21,4.8375,                    ,                    
5/31/2001,27.1455,34.5045,4.7909,                    ,                    
6/1/2001,27.3021,34.5957,4.8489,                    ,                    
6/2/2001,27.0844,34.5089,4.7022,                    ,                    
6/3/2001,27.4333,33.9445,4.58,                    ,                    
6/4/2001,27.6674,32.813,4.6565,                    ,                    
6/5/2001,28.5295,33.6773,4.5705,                    ,                    
6/6/2001,28.9244,33.9755,4.6044,                    ,                    
6/7/2001,28.4837,34.1791,4.2977,11.3929,                    
6/8/2001,27.8087,33.7717,4.1391,13.2826,                    
6/9/2001,26.9761,33.7391,4.0826,14.6304,                    
6/10/2001,26.7417,33.2375,4.075,16.875,                    
6/11/2001,26.883,33.1681,4.0043,12.7872,                    
6/12/2001,26.4915,33.1128,4.1128,11.1489,25.5429
6/13/2001,26.6104,32.7187,4.4333,10.6458,26.3542
6/14/2001,26.913,32.4217,4.1283,8.9348,25.55
6/15/2001,27.3533,32.5222,4.2933,11.3111,26.3978
6/16/2001,28.2182,32.6841,4.4341,12.5227,28.2659
6/17/2001,27.7783,33.0826,4.2065,15.6087,25.1174
6/18/2001,27.5609,33.4,4.4043,21.2391,24.9087
6/19/2001,27.6261,33.7239,4.2457,27.7609,24.3978
6/20/2001,27.6319,33.6447,3.8617,25.766,23.6936
6/21/2001,27.7617,32.7383,3.6787,40.5319,23.7936
6/22/2001,27.8511,32.4447,3.7277,59.6809,25.8532
6/23/2001,27.8511,33.0532,3.8191,118.8298,24.6362
6/24/2001,28.4174,33.6261,3.7978,49.6739,25.787
6/25/2001,28.3419,33.7512,4.1233,130.52,24.9787
6/26/2001,28.839,33.7976,4.7049,                    ,26.5213
6/27/2001,29.7128,33.6692,4.7256,                    ,26.3511
6/28/2001,28.7732,33.5293,4.4805,                    ,25.2792
6/29/2001,28.6175,33.3525,4.45,                    ,25.7739
6/30/2001,28.9805,33.239,4.5463,                    ,26.6562
7/1/2001,29.29,33.02,4.5,                    ,26.4213
7/2/2001,29.2744,32.6974,4.3821,                    ,26.887
7/3/2001,29.4415,32.8341,4.5366,                    ,27.0729
7/4/2001,29.259,32.5,4.2077,                    ,25.1383
7/5/2001,28.9528,31.6083,4.3139,                    ,27.8696
7/6/2001,29.2529,31.4765,4.6059,                    ,28.7
7/7/2001,29.1974,31.0103,4.3487,                    ,26.193
7/8/2001,28.8182,31.5682,3.9227,                    ,28.2733
7/9/2001,29.5143,31.4119,4.0595,                    ,29.1933
7/10/2001,30.3023,31.5864,4.0386,                    ,29.1614
7/11/2001,30.6487,31.5103,4.0846,                    ,29.5308
7/12/2001,30.6046,31.175,4.0932,23.0769,27.2727
7/13/2001,29.9457,30.6152,4.2957,104.1087,25.6022
7/14/2001,28.8978,30.8261,4.6261,42.5217,23.9674
7/15/2001,28.9021,30.2064,4.4255,21.9362,24.6149
7/16/2001,28.7261,30.2413,4.4304,311.9348,24.7261
7/17/2001,28.5978,30.6717,4.3587,409.9348,25.4348
7/18/2001,28.7311,30.84,3.9822,420.5555,26.7622
7/19/2001,29.1952,30.8381,4.0071,676.2381,27.6405
7/20/2001,29.0511,30.9222,3.5333,1306.8,25.4333
7/21/2001,28.5957,30.6304,4.2457,247.1739,25.3087
7/22/2001,28.2909,32.4614,4.2773,158.8409,25.45
7/23/2001,28.8167,32.375,4.1708,144.4375,26.2208
7/24/2001,28.6723,32.0574,4.2894,121.1277,27.2489
7/25/2001,28.9022,32.1756,3.8533,311.0889,27.3689
7/26/2001,29,32.4023,3.8955,520.8148,26.7872
7/27/2001,29.35,33.05,4.4632,                    ,27.8326
7/28/2001,28.3833,30.5238,4.3905,                    ,24.2174
7/29/2001,29.0596,32.3489,4.3234,                    ,27.9766
7/30/2001,29.3341,31.761,4.3756,                    ,27.9435
7/31/2001,28.717,32.383,4.7277,                    ,25.6468
8/1/2001,27.8826,33.1196,4.5022,                    ,25.1152
8/2/2001,27.6304,33.1522,3.4826,                    ,24.4935
8/3/2001,28.363,33.1,2.2413,                    ,25.7479
8/4/2001,28.6818,32.9727,2.625,                    ,26.0687
8/5/2001,29.2489,32.6889,2.6689,                    ,26.5333
8/6/2001,29.513,32.6739,2.5717,                    ,27.8625
8/7/2001,30.3068,32.85,3.8614,0.4545,28.9543
8/8/2001,30.8182,33,4.3205,0.4545,29.55
8/9/2001,31.4155,32.9911,4.1667,0.3,29.44
8/10/2001,31.263,32.9652,3.7239,0.2963,28.7457
8/11/2001,30.937,32.9739,3.6761,0.7027,28.0413
8/12/2001,30.8045,33.0178,3.6822,1.0222,28.4555
8/13/2001,30.8174,33.1326,3.5913,1.913,28.1522
8/14/2001,29.6085,31.4787,3.5745,3.9149,24.8298
8/15/2001,29.483,30.8617,3.7511,7.7447,25.917
8/16/2001,29.7447,33.1149,3.8957,8.2766,27.5298
8/17/2001,30.313,33.7891,3.8217,7.1304,28.9152
8/18/2001,30.6468,33.4894,3.8128,8.6596,28.0085
