DATE-YMD,Temperature,Salinity,Oxygen,Turbidity,AirTemp
1/1/2001,10.7745,32.0468,9.3234,                    ,12.8723
1/2/2001,10.7689,32.2956,8.1978,                    ,13.94
1/3/2001,11.1867,32.8867,7.4356,                    ,14.4978
1/4/2001,10.6171,32.8781,5.6976,                    ,12.939
1/5/2001,11.7067,32.8556,7.6689,                    ,12.5756
1/6/2001,11.6,31.8542,                    ,                    ,9.2188
1/7/2001,11.9896,32.0458,                    ,                    ,10.2167
1/8/2001,12.3312,31.9771,                    ,                    ,11.4729
1/9/2001,11.5021,32.0583,                    ,                    ,7.9708
1/10/2001,11.1521,31.3375,                    ,                    ,9.7125
1/11/2001,10.5562,30.4875,                    ,                    ,8.6417
1/12/2001,10.3479,30.5312,                    ,                    ,9.4896
1/13/2001,10.9167,30.5792,                    ,                    ,8.5417
1/14/2001,11.1354,30.5042,                    ,                    ,8.0917
1/15/2001,10.066,31.317,11.5897,4.6207,6.3958
1/16/2001,9.3979,31.9167,10.5813,4.1667,6.8021
1/17/2001,8.9917,32.1458,11.2438,5.1875,5.5354
1/18/2001,9.5596,32.3745,11.1234,5.2553,6.366
1/19/2001,10.3646,32.5937,10.0875,4.8333,9.9896
1/20/2001,10.7625,32.7521,10.1646,2.5111,9.525
1/21/2001,10.9083,32.8292,9.7021,1.9362,8.475
1/22/2001,11.8,32.9187,9.5604,1.7174,9.3417
1/23/2001,11.3729,32.6146,8.4542,1.4222,9.8562
1/24/2001,11.2812,30.6021,9.0896,2.6875,8.2521
1/25/2001,10.5687,29.8021,8.5604,2.3913,7.4417
1/26/2001,10.7277,29.4851,9.5213,3,7.034
1/27/2001,10.9875,29.2354,10.2396,2,6.6604
1/28/2001,11.1468,28.9277,10.5362,1.9783,7.1447
1/29/2001,12.0562,28.7229,10.1854,2.7381,8.8083
1/30/2001,11.1896,29,10.2271,3.6458,7.725
1/31/2001,10.1562,29.1313,11.2062,4.7708,9.6917
2/1/2001,11.55,29.4938,11.8646,4.8333,9.55
2/2/2001,12.5875,29.7792,11.2688,4.6667,9.6896
2/3/2001,13.6574,30.3043,10.2511,4.3191,14.6319
2/4/2001,14.7813,30.9917,9.875,3.375,16.5708
2/5/2001,14.9833,31.5021,8.9625,2,12.7479
2/6/2001,13.3383,31.8511,7.8,3.5106,9.6447
2/7/2001,11.3234,32.1255,7.7064,3,7.9745
2/8/2001,10.6417,32.3708,8.3333,2.4167,6.9562
2/9/2001,10.5708,31.7854,7.6729,2.9565,8.0125
2/10/2001,9.9196,30.6,8.5543,3.3409,7.4
2/11/2001,10.6872,29.2489,8.8213,4.0698,8.2426
2/12/2001,10.6043,28.7674,7.287,3.2683,6.737
2/13/2001,10.5356,28.9844,5.9311,3.8444,7.6089
2/14/2001,11.2674,28.8744,7.2884,4.3256,8.6093
2/15/2001,12.9091,28.8114,6.9636,4,8.6295
2/16/2001,13.1977,29.1395,6.5349,3.6977,9.8256
2/17/2001,12.4711,29.5778,6.6689,3.7111,12.0289
2/18/2001,13.2364,29.9,6.7114,3.2955,11.8841
2/19/2001,12.7953,29.4953,6.8605,4.2326,11.6233
2/20/2001,12.69,29.585,7.4,3.975,11.0875
2/21/2001,12.5634,29.3366,5.3195,3.7073,11.0537
2/22/2001,12.5756,28.2756,7.0867,5.2667,9.6044
2/23/2001,12.7279,28.5605,7.4628,3.907,8.5442
2/24/2001,12.4156,27.5756,6.0978,4.6667,9.2111
2/25/2001,13.2045,26.7773,6.0568,3.8636,10.2909
2/26/2001,14.2048,26.7786,5.3476,3.0714,10.5762
2/27/2001,14.3721,26.5744,5.4233,2.7674,11.2674
2/28/2001,14.58,26.9267,6.4422,3.2222,9.8156
3/1/2001,13.7535,27.2721,5.3047,2.6279,9.2488
3/2/2001,13.5609,27.2239,4.9891,3.2174,9.2913
3/3/2001,13.0044,27.8489,6.4222,4.3778,8.2733
3/4/2001,12.5435,28.2174,6.4326,5.3261,12.4304
3/5/2001,13.0326,27.4744,5.686,4.093,12.4698
3/6/2001,14.0432,27.2886,5.2409,4.6591,13.4409
3/7/2001,16.1318,27.5432,5.3091,3.5227,12.2841
3/8/2001,16.125,26.6023,4.5545,2.9091,11.3727
3/9/2001,14.6456,26.9478,4.7152,3.6522,10.4696
3/10/2001,14.2932,26.9318,6.7386,3.9773,8.8023
3/11/2001,14.6163,27.6302,7.0488,3.5116,10.3093
3/12/2001,14.959,28.0231,8.7436,3.359,9.9744
3/13/2001,16.0614,29.4864,14.6159,2.5227,10.6773
3/14/2001,16.2696,29.7609,13.1109,3.2391,10.913
3/15/2001,15.3795,30.05,11.0273,2.9091,10.5909
3/16/2001,16.1114,30.1727,13.6886,3.4318,10.3455
3/17/2001,16.717,30.4915,12.5234,3.5745,11.6106
3/18/2001,18.0341,30.8136,10.7545,3.1591,12.35
3/19/2001,18.3628,31.0093,10.0372,2.6279,15.0209
3/20/2001,18.8488,31.293,9.9023,2.6977,14.1581
3/21/2001,17.2872,31.5085,8.317,2.7234,11.8745
3/22/2001,17.2477,31.8841,9.7045,3.0455,13.025
3/23/2001,17.5477,32.0477,8.9818,3.6818,13.0773
3/24/2001,18.3488,32.2465,9.2558,3.2093,13.6163
3/25/2001,19.1791,32.1977,8.4512,4.2326,13.9907
3/26/2001,17.7643,32.4833,8.3071,2.9524,10.8667
3/27/2001,17.8841,32.7295,8.4614,2.5455,11.3864
3/28/2001,17.3341,33.0182,5.875,2.4318,12.0977
3/29/2001,17.0732,33.1976,6.1951,2.3902,12.2366
3/30/2001,18.0372,33.3163,6.5395,3.4651,12.2395
3/31/2001,18.9366,33.4488,7.1927,4.0244,13.0317
4/1/2001,17.2667,33.8071,6.7643,2.325,11.4357
4/2/2001,16.407,34.0721,10.2,3.6571,10.3791
4/3/2001,15.3524,34.4833,9.5333,1.8966,7.8405
4/4/2001,14.4756,34.7146,8.7683,0.963,7.9707
4/5/2001,15.3225,35.045,7.8225,0.35,8.695
4/6/2001,14,34.7886,4.9091,0.4545,9.7205
4/7/2001,14.0837,33.4116,6.9791,1.2308,8.8419
4/8/2001,13.3837,33.8558,5.8744,1.1875,7.7279
4/9/2001,14.1468,33.1085,10.8043,1.3095,8.5936
4/10/2001,14.5234,33.1638,12.0255,2.0244,9.6787
4/11/2001,14.7574,33.6468,10.1277,2.0526,10.6872
4/12/2001,15.2255,33.517,10.2298,3.0444,9.5511
4/13/2001,15.1717,33.5326,10.0435,3.65,8.5326
4/14/2001,15.6958,33.8688,9.6833,2.6667,8.4188
4/15/2001,16.6935,34.2261,9.5609,2.4651,8.813
4/16/2001,17.7391,34.3587,9.9261,1.5333,10.0761
4/17/2001,18.4091,34.5091,9.65,2.9302,11.9159
4/18/2001,18.1909,34.7977,8.5886,1.1429,11.0932
4/19/2001,18.1532,35.0149,7.8638,1.8,11.3766
4/20/2001,14.7956,34.3156,7.2556,2.0909,9.34
4/21/2001,15.0936,33.3213,8.6021,2.6905,9.0681
4/22/2001,16.5239,34.1152,8.113,1.8919,10.6152
4/23/2001,17.4872,34.2489,9.2234,10.8333,10.7617
4/24/2001,18.6936,34.034,9.917,5.2045,12.7298
4/25/2001,18.9255,33.9064,10.1404,4.6739,12.4702
4/26/2001,17.9739,33.9261,10.487,4.8913,10.6913
4/27/2001,17.2511,34.0596,11.0808,7.7609,11.0383
4/28/2001,17.937,34.2348,12.0587,12.7609,12.5804
4/29/2001,18.3542,34.7542,12.825,9.2609,11.2917
4/30/2001,19.1638,34.9638,13.5936,8.0426,12.3064
5/1/2001,19.6229,35.2417,14.4771,9.4773,12.925
5/2/2001,19,35.537,15.0935,3.25,16.2174
5/3/2001,19.0979,35.8208,15.175,5.0213,18.6229
5/4/2001,19.6152,36.0326,9.9761,1.7778,13.8543
5/5/2001,19.5733,35.8044,5.0956,3.5128,11.9556
5/6/2001,19.8149,35.5851,4.9468,37.8857,12.6319
5/7/2001,20.4422,35.3911,4.78,87.0698,15.74
5/8/2001,20.9383,35.1553,5.0255,23.8298,15.217
5/9/2001,20.2687,35.1354,5.5396,6.2128,13.2354
5/10/2001,19.5681,35.0574,5.8447,4.8889,12.4574
5/11/2001,18.9447,35.4468,4.9957,9.6,11.766
5/12/2001,17.5063,35.6458,4.8875,                    ,12.7208
5/13/2001,18.3298,35.8894,4.4936,                    ,12.9404
5/14/2001,19.8756,37.5911,5.4,1.4231,12.5913
5/15/2001,20.9846,38.5,4.2897,1.6923,13.8974
5/16/2001,22.1,38.7214,4.0905,1.6905,14.2143
5/17/2001,20.7488,38.4073,5.3032,1.4571,12.0415
5/18/2001,19.9769,38.2795,4.8394,1.6333,12.3923
5/19/2001,19.4658,38.8342,3.5086,1.5417,11.9737
5/20/2001,19.4707,39.0439,3.0585,1.8077,12.3707
5/21/2001,18.8048,38.4952,4.7881,2.75,12.1548
5/22/2001,19.1179,38.2949,3.6487,2.2286,12.3846
5/23/2001,20.0711,38.0421,5.3605,1.7297,12.7579
5/24/2001,20.0892,37.7054,5.8432,1.6216,12.7027
5/25/2001,20.7581,37.5488,4.4535,1.7674,12.9163
5/26/2001,18.8021,37.3447,3.9191,2.2222,11.5574
5/27/2001,17.1619,37.4714,4.2619,1.6579,11.7738
5/28/2001,17.7184,37.1184,4.2868,2.6061,11.9079
5/29/2001,19.6683,37.5756,3.5244,1.3684,13.1732
5/30/2001,21.7476,37.6214,3.6167,1.9,18.0857
5/31/2001,22.8114,38.2659,1.5114,1.6585,17.725
6/1/2001,21.3027,38.2541,2.7838,1.4167,14.127
6/2/2001,19.6816,38.1368,2.4921,1.9722,13.1579
6/3/2001,19.2436,38.4231,2.6282,1.8485,11.7
6/4/2001,19.7364,38.4023,2.6205,1.3333,10.7
6/5/2001,20.1489,38.2089,1.9844,2.4857,13.2895
6/6/2001,20.8957,38.0457,1.6,2.7209,14.3913
6/7/2001,21.5688,38.0667,0.8229,2.0208,15.4583
6/8/2001,21.8936,37.8723,1.0149,17.1304,15.8298
6/9/2001,21.66,38.0111,0.8733,26.0889,14.0178
6/10/2001,21.4812,38.2729,0.5417,3.2553,13.3688
6/11/2001,20.6304,37.9696,4.0957,2.7742,13.2522
6/12/2001,21.4,38.2,5.6375,5.2143,13.0104
6/13/2001,21.8106,37.9128,5.317,                    ,14.0213
6/14/2001,22.64,37.8089,4.4711,                    ,13.94
6/15/2001,22.9822,38.26,3.1689,                    ,14.5822
6/16/2001,22.2535,38.4256,2.8047,                    ,12.607
6/17/2001,22.7889,38.5067,3.0489,                    ,11.9089
6/18/2001,22.2087,38.2652,2.9043,                    ,13.1674
6/19/2001,21.7979,37.683,2.634,                    ,13.9638
6/20/2001,21.3213,37.5319,2.7617,                    ,14.4319
6/21/2001,21.8854,37.4,1.9354,                    ,15.1917
6/22/2001,21.7277,37.2,1.7532,                    ,15.2298
6/23/2001,20.4378,37.4289,1.5844,                    ,13.4556
6/24/2001,21.0651,37.4395,2.3628,                    ,13.1047
6/25/2001,21.3261,37.5348,1.8413,                    ,14.1348
6/26/2001,21.4395,37.3023,2.1302,                    ,14.0047
6/27/2001,21.5208,38.4312,2.2,                    ,14.9708
6/28/2001,22.7089,39.2267,2.2511,                    ,16.8067
6/29/2001,23.0522,39.6544,2.5674,                    ,16.1804
6/30/2001,22.2119,39.4024,1.8167,                    ,13.9714
7/1/2001,22.1227,39.0295,0.9523,                    ,14.4909
7/2/2001,22.3729,38.1937,0.8937,                    ,15.6667
7/3/2001,22.5894,37.6745,1.0404,                    ,16.7574
7/4/2001,22.4208,37.4208,1.2354,                    ,15.4458
7/5/2001,20.8875,37.4604,0.8958,                    ,13.5792
7/6/2001,20.4213,37.4681,1.4149,                    ,14.3213
7/7/2001,21.2435,37.5,1.7717,                    ,14.5674
7/8/2001,21.3298,37.8511,0.8979,                    ,14.4426
7/9/2001,20.8106,37.0574,0.7636,3.76,15.0958
7/10/2001,20.9875,37.2167,                    ,4.7021,15.1937
7/11/2001,21.0958,37.7813,                    ,4.1042,15.4625
7/12/2001,21.7875,37.9187,                    ,3.4167,15.4729
7/13/2001,21.8021,38.7229,                    ,2.8125,14.2396
7/14/2001,19.9792,39.9625,                    ,2.0638,13.6729
7/15/2001,18.8375,40.1396,                    ,1.6042,13.5833
7/16/2001,18.7229,39.2063,                    ,2.3333,14.9583
7/17/2001,19.1396,38.7646,                    ,2.1875,14.2417
7/18/2001,19.4188,38.3354,                    ,2.4255,13.9
7/19/2001,19.5104,37.9583,                    ,2.8333,14.2083
7/20/2001,19.3771,37.5125,                    ,2.9787,14.6813
7/21/2001,20.1625,37.1417,                    ,3.1702,14.7
7/22/2001,20.25,37.2396,                    ,3.1064,13.2042
7/23/2001,19.2729,37.7292,                    ,3.1667,12.9812
7/24/2001,19.4417,37.9479,                    ,3.2083,14.3458
7/25/2001,19.7854,37.9042,                    ,3.2766,14.625
7/26/2001,20.0875,37.9917,                    ,3.5208,14.3667
7/27/2001,20.2896,38.3771,                    ,5.2708,13.3937
7/28/2001,20.0417,37.8417,                    ,5.2093,13.3021
7/29/2001,19.5542,37.575,                    ,6.4118,13.7542
7/30/2001,19.7396,37.1479,                    ,                    ,14.7792
7/31/2001,19.6396,36.9146,                    ,                    ,13.5875
8/1/2001,19.2104,36.9292,                    ,                    ,13.3667
8/2/2001,19.8375,36.5708,                    ,                    ,13.8104
8/3/2001,19.8375,36.7396,                    ,                    ,14.0813
8/4/2001,20.6792,36.5604,                    ,                    ,15.9875
8/5/2001,22.0042,37.2479,                    ,                    ,16.4604
8/6/2001,22.7808,35.8383,5.3714,                    ,15.617
8/7/2001,22.8109,35.7283,2.9652,                    ,14.2978
8/8/2001,21.2809,36.0574,2.5723,                    ,13.883
8/9/2001,20.5771,36.5771,2.5937,                    ,15.0292
8/10/2001,21.6717,36.8435,2.887,                    ,16.0935
8/11/2001,22.4638,36.8106,3.3574,                    ,14.8723
8/12/2001,21.5146,36.5896,2.6937,                    ,14.6125
8/13/2001,20.875,36.5167,2.6771,                    ,14.5667
8/14/2001,21.3625,35.8854,2.1542,                    ,14.4
8/15/2001,20.766,36.0213,2.4426,                    ,13.8574
8/16/2001,20.3625,36.8604,2.9125,                    ,13.1312
8/17/2001,20.483,36.0277,3.4,                    ,14
8/18/2001,20.4511,35.8149,3.1617,                    ,13.7128
8/19/2001,18.9319,35.1638,3.2234,                    ,12.5191
8/20/2001,17.9667,35.3667,3.4244,                    ,13.3333
8/21/2001,18.7578,34.5733,3.8378,                    ,13.78
8/22/2001,20.0208,34.6375,3.35,                    ,15.5104
8/23/2001,20.8792,34.525,3.6083,                    ,16.125
8/24/2001,21.0375,34.1104,3.9188,                    ,14.5312
8/25/2001,21.05,33.5979,3.9292,                    ,14.2208
8/26/2001,20.9688,33.1292,2.6479,                    ,14.0292
8/27/2001,20.9833,32.8646,2.35,                    ,14.3979
8/28/2001,20.6042,32.5438,2.5271,                    ,14.5563
8/29/2001,19.2267,32.9178,4.2267,                    ,13.38
8/30/2001,18.4875,33.4333,2.6917,                    ,14.4375
8/31/2001,19.4851,33.1192,1.8511,                    ,14.1213
9/1/2001,19.6319,32.9617,2.2553,                    ,12.9957
9/2/2001,20.3383,32.6723,2.0809,                    ,12.9617
9/3/2001,21.0149,32.6596,2.0936,                    ,14.7213
9/4/2001,21.14,34.1044,3.44,                    ,13.5378
9/5/2001,19.8717,36.1044,4.2674,4.2083,13.6261
9/6/2001,20.0283,35.9652,4.3261,1,14.0283
9/7/2001,19.5426,35.7276,4.4617,10.25,12.7191
9/8/2001,19.0667,35.7083,4.675,12.9444,13.7583
9/9/2001,19.1174,35.0826,4.7674,7.1538,15.3544
9/10/2001,20.4022,35.2244,5.6756,18.375,15.8489
9/11/2001,21.4417,35.0521,5.8708,36.2619,16.0375
9/12/2001,21.3932,34.15,4.7432,95.6341,15.0068
9/13/2001,20.766,34.4043,3.0702,14.2143,14.8532
9/14/2001,20.4149,34.5,3.1191,13.8919,13.0574
9/15/2001,19.6872,34.6872,2.8106,22,13.5
9/16/2001,18.8362,34.5787,2.5851,25.8049,14.0489
9/17/2001,17.8187,34.4854,2.6,13.913,13.5188
9/18/2001,17.0854,34.2,3,31.6486,12.6583
9/19/2001,17.0562,33.9062,3.4833,16.8919,13.0583
9/20/2001,16.9917,34,2.9146,12.9024,13.1958
9/21/2001,17.1298,33.6936,3.2957,18.2222,13.1064
9/22/2001,18.1229,33.1958,3.7729,4.8333,12.875
9/23/2001,18.5583,33.2333,4.0375,9.5429,13.2792
9/24/2001,18.5333,33.3354,4.2542,32.1667,13.7333
9/25/2001,19.6938,33.0896,4.8792,4,15.8521
9/26/2001,20.1187,32.7458,5.0146,9.4333,16.8604
