DATE-YMD,Temperature,Salinity,Oxygen,Turbidity,AirTemp
1/1/2001,4.3643,23.3214,11.0952,2.2381,0.2833
1/2/2001,4.3595,23.1095,11.2286,2.5,0.2048
1/3/2001,3.9689,23.52,11.1578,6.4,-1.1156
1/4/2001,4.3727,23.9432,11.0409,8.5,0.4023
1/5/2001,4.9622,23.74,10.9111,14.5333,4.7533
1/6/2001,5.8405,23.7405,10.6762,3.5238,5.7405
1/7/2001,6.6415,24.5049,10.478,52.7561,7.3829
1/8/2001,7.1395,24.1256,9.8093,2.8837,8.2395
1/9/2001,6.9195,23.161,10.2,41.6585,2.7171
1/10/2001,6.1048,22.1357,10.8167,4.8333,3.6643
1/11/2001,7.0073,19.8366,10.2902,274.9512,7.8537
1/12/2001,7.4523,24.0932,10.0977,208.7727,8.3333
1/13/2001,7.6354,29.8479,10.6958,3.5625,10.5708
1/14/2001,8.5896,29.0792,10.5833,5.3125,10.6917
1/15/2001,9.4688,28.6167,10.4812,18.9375,11.7583
1/16/2001,10.2978,28.3435,10.1696,48.913,12.687
1/17/2001,9.8125,28.8063,10.2271,27.875,10.0187
1/18/2001,9.4354,29.6437,10.0437,5.1042,10.9729
1/19/2001,11.0234,29.9872,9.6638,14.8723,16.4936
1/20/2001,12.5625,28.2958,8.9313,13.3542,14.3958
1/21/2001,8.9978,28.2283,10.0152,36.6304,3.3543
1/22/2001,7.7208,30.0354,10.4354,37.25,4.4229
1/23/2001,6.7521,31,10.6104,14.6875,5.8667
1/24/2001,6.7104,30.5917,10.7854,8.9375,5.2271
1/25/2001,6.963,30.2348,10.7848,15.1304,5.4696
1/26/2001,5.8578,30.3956,10.8844,17.6,1.4467
1/27/2001,7.2438,29.9417,10.9771,3.8333,10.2292
1/28/2001,7.5896,29.4854,10.9708,2.5833,4.6917
1/29/2001,7.8979,29.6542,11.0521,3.5625,6.7917
1/30/2001,10.2979,28.475,10.3167,3.875,14.9
1/31/2001,11.2043,26.1234,9.8532,13.1702,13.7702
2/1/2001,11.0587,25.613,10.0413,15.1739,11.4609
2/2/2001,9.9167,27.3021,9.9583,2.5,9.2604
2/3/2001,8.3156,28.4244,10.2778,2.4,5.0689
2/4/2001,7.7979,29.7574,9.9383,3.9787,7.2766
2/5/2001,8.5526,29.5447,9.8895,5.1579,8.5
2/6/2001,8.541,29.9077,9.8897,8.1026,7.0923
2/7/2001,9.1195,29.4829,10.161,14.6341,8.8244
2/8/2001,10.1889,29.1778,10.2378,4.5111,10.9067
2/9/2001,11.5574,30.4149,9.6936,4.6809,13.6043
2/10/2001,12.1917,29.6667,9.2229,7.5,16.1375
2/11/2001,10.1292,28.7542,9.6562,5.9167,7.0979
2/12/2001,8.3167,28.0479,10.0688,5.5208,7.4917
2/13/2001,9.8958,26.0792,10.5604,15.7917,8.825
2/14/2001,10.8787,25.8787,10.2,3.9149,12.2596
2/15/2001,13.6227,24.7182,9.8263,3.5909,17.65
2/16/2001,14.7208,23.5771,                    ,9.0208,18.5354
2/17/2001,13.9062,22.6563,                    ,18.875,13.8479
2/18/2001,10.2167,24.7396,                    ,4.3958,4.0729
2/19/2001,10.0188,25.2437,                    ,3.9375,6.2062
2/20/2001,11.5333,24.9729,                    ,33.0417,12.7708
2/21/2001,13.4604,24.1604,                    ,4.4583,17.1792
2/22/2001,10.4979,25.0958,                    ,3.7708,5.5812
2/23/2001,9.9313,25.4042,                    ,3.2708,5.0354
2/24/2001,10.8208,25.1792,                    ,2.7917,8.4917
2/25/2001,11.8875,24.7875,                    ,2.8542,15.5646
2/26/2001,14.7375,23.3708,                    ,6.0625,18.625
2/27/2001,13.275,24.35,                    ,4.7292,11.0438
2/28/2001,13.2125,29.0271,9.6739,4.4792,11.3
3/1/2001,12.8292,33.7458,9.1812,6.6042,9.5646
3/2/2001,14.3042,32.4208,9.1062,14.9792,16.375
3/3/2001,13.7812,31.2521,8.2146,20.1458,12.3167
3/4/2001,13.2188,31.8854,8.2771,8.625,13.7312
3/5/2001,12.6478,30.237,8.5674,25.4783,11.1435
3/6/2001,9.6362,30.883,9.3574,27.8723,3.7021
3/7/2001,9.5042,30.7,9.6583,7.5625,5.9104
3/8/2001,10.6479,29.5208,9.65,21.0417,6.2854
3/9/2001,10.4438,30.5,9.1771,24.9583,9.1271
3/10/2001,10.5083,29.05,9.5979,99.5208,5.4167
3/11/2001,11.5354,26.1875,9.8229,11.2083,9.4083
3/12/2001,12.163,25.7978,9.5348,61.8043,12.8457
3/13/2001,14.8429,24.9214,8.9595,212.3333,19.3714
3/14/2001,15.178,25.2732,8.5488,184.6585,17.1415
3/15/2001,14.2057,26.1657,8.2057,113.7143,15.2714
3/16/2001,14.6,25.5854,8.2878,118,12.9976
3/17/2001,15.2683,25.9415,8.9024,36.9512,13.9927
3/18/2001,13.5717,26.6196,9.2304,47.7174,10.4283
3/19/2001,11.7362,29.9192,9.4553,9.617,8.5213
3/20/2001,11.1625,31.5708,9.2229,14.6042,11.5812
3/21/2001,12.4563,27.0208,8.7667,11.0417,11.5583
3/22/2001,13.2149,27.5596,8.7638,37.9773,13.2936
3/23/2001,13.6889,29.7222,8.4911,5.5185,12.0889
3/24/2001,14.8634,27.2024,8.6805,5.7143,16.2268
3/25/2001,12.813,26.9935,8.1261,5.8636,9.5457
3/26/2001,12.3568,28.0409,8.6227,8.3947,7.9273
3/27/2001,12.1957,28.6213,9.1787,190.48,6.2106
3/28/2001,12.0917,31.1312,9.0437,96.9091,8.1125
3/29/2001,12.8958,31.1958,8.5188,402.6667,14.5813
3/30/2001,16.2681,25.9681,8.6723,142.8511,17.9511
3/31/2001,16.8114,24.1636,8.0977,214.6098,17.7023
4/1/2001,15.4927,24.6146,7.4902,408.1219,13.1024
4/2/2001,13.8047,25.4628,8.4977,280.9302,11.6721
4/3/2001,13.9313,26.0229,7.9271,254.5217,15.1604
4/4/2001,14.5077,27.5744,8.3462,205.9688,14.1154
4/5/2001,14.9404,29.5362,6.1511,22.5,12.8383
4/6/2001,16.1578,29.4556,6.5711,5.6216,16.6867
4/7/2001,17.7375,27.7125,7.1075,6,21.4775
4/8/2001,17.9524,27.1262,6.931,4.5405,21.7405
4/9/2001,18.64,27.18,7.5267,4.0811,22.1644
4/10/2001,18.8783,27.6326,7.6565,5.2258,20.5413
4/11/2001,19.5217,28.837,8.0348,6.0303,20.017
4/12/2001,20.7562,28.3583,8.0042,4.6875,21.7104
4/13/2001,21.4875,23.8979,7.7771,12.9583,23.6125
4/14/2001,19.9958,27.6354,8.2542,4.4583,19.1896
4/15/2001,19.4167,27.7708,7.5958,4.125,19.9917
4/16/2001,18.9875,27.3479,8.0667,30.7292,18.5729
4/17/2001,16.7396,30.1042,7.9208,5.4792,11.4667
4/18/2001,14.0833,29.7354,8.5667,4.6042,8.134
4/19/2001,14.7917,30.4563,8.7229,7.0417,11.1188
4/20/2001,16.437,29.3761,8.4696,12.2609,16.1717
4/21/2001,18.5854,28.1271,8.0583,7.6042,18.8479
